"Affiliated entity","Affiliated entity ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who made improvements in function","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay high-risk residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay low-risk residents who lose control of their bowels or bladder","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF","Average percentage of current residents up to date with COVID-19 vaccines","Average percentage of healthcare personnel up to date with COVID-19 vaccines"
"DAVID MARX",179,10,1,0,1,1,10,100,0,0,1.8,2,1.6,2.8,3.1,2.7,0.5,56.5,53,0.4,7,0.7,774432.58,77443.26,2,0.2,24.7,14,1.2,2.5,74.8,67.7,71.1,2.31,1.3,14.7,3.9,9.7,2.1,1.3,9.4,14.1,96.5,89.9,0.2,45.7,5.6,13.9,27.4,10.9,19.3,2.4
"DELMAR GARDENS",180,14,5,0,0,2,14.3,100,0,0,2.7,2.6,3,3.1,3.9,3.4,0.3,54,49.8,1.2,22,1.6,386467.28,27604.81,3,0.2,26.9,8.4,1.8,4.8,77.4,62.2,70.8,2.43,0.72,17,4,9.7,3.7,1,13.3,14.2,93.8,88.7,0.1,39.3,5.6,1.9,19.5,10.7,52.6,23.9
"DIAKONOS GROUP",182,8,1,0,0,0,0,100,0,0,2.8,2.6,3.1,3.1,4.7,4.2,0.5,71.8,70.8,2.8,9,1.1,133441.4,16680.18,1,0.1,27.8,14.5,1.6,2.3,77.9,63.1,71.4,2.63,1.65,4.9,5.7,7.7,2.2,1.9,15.1,16.2,92.8,87.3,0,46,2.6,0.8,23.5,11,11.3,1.1
"DIGNITY HEALTH",183,5,3,0,0,1,20,60,40,0,2.8,2.6,2.6,3.6,5.1,4.4,1.1,44.1,30,0,10,2,126632.28,25326.46,2,0.4,17.5,9,2.7,1.7,67.9,84.3,88,2.07,1.19,17.4,2.2,11.5,2.6,2,12.8,11.6,97.4,94.6,0.8,51.1,5.3,5.2,18.8,10.9,47.7,1
"DIOCESAN HEALTH FACILITIES",184,5,1,0,0,0,0,0,100,0,2.6,2.4,4.2,2.8,3.9,3.7,0.7,34.6,35.8,0,9,1.8,127162.04,25432.41,0,0,19.7,11.1,4,5.5,76,78.3,65.7,1.99,0.86,20.4,4.7,6.1,4,1.8,16.6,18.9,95.9,91.3,0.8,69.7,5,1,16.9,9.8,41.6,12.3
"DIVERSICARE HEALTHCARE",185,46,6,0,3,2,4.3,97.8,0,2.2,2.7,2.5,2.3,3.8,3.1,2.7,0.5,53.2,49.4,0.7,57,1.2,1777505.92,38641.43,8,0.2,24.1,12.9,1.9,1.4,85.3,78.5,82.3,1.91,1.23,12.6,3.4,8.2,1.6,1,12.4,10.6,97.7,95.8,0.1,42.6,5,2.4,21.3,10.8,20.7,4.4
"DIVINE HEALTHCARE MANAGEMENT",186,9,2,0,0,2,22.2,100,0,0,1.3,1.2,2,3.8,3.4,3,0.5,60.2,63.4,0.8,34,3.8,581409.44,64601.05,10,1.1,17.5,19.2,1,3,81.5,47.4,44.5,1.59,1.72,16.3,3.1,6,0.6,1,16.4,16.4,87.9,77.8,0.1,45.7,6.5,31.7,19.2,10.5,27.9,10.2
"DOVE HEALTHCARE",187,6,1,0,0,0,0,100,0,0,5,4.2,4.8,4.5,5.6,4.9,1.5,43.5,26,0.2,4,0.7,12807.8,2134.63,0,0,21.3,18,0,1.6,82.9,91.1,91.2,1.24,1.85,6.8,2.8,6.7,2.6,4.7,12,5,99.2,98.3,0,55.6,3.8,2.2,19.8,9.1,32.7,4.3
"EASTERN HEALTHCARE GROUP",608,7,1,0,1,1,14.3,100,0,0,1,1.3,1,2.9,3,2.5,0.3,66.1,70.6,0.7,18,2.6,793441.84,113348.83,3,0.4,21.8,17.7,1.5,3.5,72.4,31.6,37.6,1.61,1.52,7.4,3.3,7,1.4,0.7,19.8,23.1,82.4,71.4,0,47.1,5.5,12.4,18.9,11.2,47,0.6
"EDEN HEALTHCARE",191,7,2,0,0,0,0,100,0,0,3.1,3,2.9,3.6,3.5,3,0.8,54.1,44.4,0.6,24,3.4,198654.87,28379.27,1,0.1,25.2,10.8,2.2,2.7,76.5,79.7,83.5,1.05,0.87,15.4,3.1,8.6,0.8,0.4,17.8,17.8,96.8,97.4,0.2,48.1,5.4,1.5,14.9,9.8,42.8,6.7
"EDEN SENIOR CARE",192,14,2,0,1,0,0,100,0,0,3.1,2.9,2.8,3.6,3.6,3.1,0.9,55.6,49.8,1.2,18,1.3,432342.07,30881.58,2,0.1,20.8,14.1,0.8,5.6,86.9,81.1,87.3,1.47,1.16,13.6,2.5,10.9,3.4,1.6,15.4,10.1,95.3,94.5,0,54.9,4,5.7,15.5,10.1,39.8,2.2
"EDURO HEALTHCARE",193,32,8,1,3,5,15.6,84.4,0,15.6,2.1,2.6,1.5,3,3,2.7,0.5,64.2,58.9,0.6,101,3.2,1636740.49,51148.14,8,0.3,21.5,15.7,2.8,3.5,71.4,71.9,80,1.77,1.29,14,4.4,7.9,2.7,1.6,16.2,18.3,94.6,91.6,0,52.7,6.2,6.6,19.7,10.1,26.2,10.7
"EL DORADO NURSING AND REHABILITATION",609,6,1,0,0,4,66.7,100,0,0,1,1.2,1,2,3,2.6,0.3,76.8,83.2,3.5,16,2.7,494498.21,82416.37,4,0.7,23.5,17.8,2.1,2,78,61.9,65.6,2.57,1.32,10.4,2.6,9.8,1.4,1.4,27,32.6,90.5,84.3,0,24.6,5.7,25.6,18.9,11.1,0,6.1
"ELDER OUTREACH NURSING & REHABILITATION",194,5,1,0,0,0,0,0,100,0,2.8,2.8,2,3,3.8,3.2,0.1,56.9,60,0.2,6,1.2,18465.85,3693.17,0,0,26,14.8,3,1.9,91.7,96.7,98.7,2.26,2.15,21,3.2,6,0.7,0,6.9,11.6,99.5,99.8,0,31.8,3.4,0.3,27.7,10.6,53.8,3.4
"ELDER SERVICES",195,6,1,0,0,0,0,100,0,0,2,2,3,2.3,3.7,3.4,0.5,60.9,65.9,0.4,13,2.2,346990.86,57831.81,3,0.5,22.2,12.7,1.3,2.1,69.7,71.5,67.9,2.02,0.88,33,4.1,7,3,1.4,23.4,21.5,92.1,86.7,1.9,53.1,5.8,0.8,24,9.9,24.2,13.4
ELDERWOOD,196,17,3,0,1,0,0,100,0,0,3.2,3.4,1.7,3.5,3.3,2.8,0.7,56.9,44,0.4,47,2.8,361474.16,21263.19,1,0.1,19.5,11.4,1.7,3.4,74.9,77.3,73,1.07,0.91,14,4.4,10.1,2.4,1.5,22.6,16.4,95.8,89.2,0.1,69.9,7,3.9,13,10,50.5,9.9
"ELEVATE CARE",197,13,2,0,0,4,30.8,100,0,0,2.2,2.1,2.2,3.2,3.4,2.9,0.7,46.8,52.4,1,67,5.2,1576361.68,121258.59,7,0.5,27.8,10.1,3.2,1.7,82.8,54.8,54.9,2.17,1,20,1.9,14.5,1.8,1.5,12.7,10.5,87.5,71.2,0.2,49.4,8.1,40.6,13.4,10.4,21.9,11.4
"ELMBROOK MANAGEMENT COMPANY",198,12,1,0,0,0,0,91.7,8.3,0,3.4,3.6,3,2.8,3.4,3,0.4,55.8,28.4,0.4,4,0.3,31959.61,2663.3,0,0,31.2,18.3,3.1,2.8,79.1,68.2,71.3,2.44,1.66,12,3.6,6.5,2.4,2.8,12.5,14.9,97,95.6,0,37.9,3.2,2.9,27.4,11.8,48.3,0.3
"EMBASSY HEALTHCARE",199,32,2,0,2,1,3.1,100,0,0,1.8,2.1,1.2,3.8,3.1,2.8,0.4,68.1,73.9,2.3,112,3.5,1960034.37,61251.07,20,0.6,22.5,11.6,1.8,2.8,76.9,57.3,56,1.71,1.18,21.5,3.5,7.4,1.3,0.6,12.9,11.4,92.3,85.6,0.2,41,6.7,13,24.5,10.5,26.4,7.5
"EMERALD HEALTHCARE",630,7,3,1,1,0,0,100,0,0,1.7,1.7,1.8,2.5,3.6,3.1,0.6,70.9,60.8,1.3,27,3.9,491822.26,70260.32,7,1,26.8,11.8,2.9,2.9,74.9,63.5,53.8,2.22,1.38,18.4,3.9,6.4,2.5,1.3,22.5,20.9,92.6,78,0,46.5,5.7,9.1,20.9,9.6,22.4,0.3
"EMPIRE CARE CENTERS",202,20,2,0,1,4,20,100,0,0,1.7,2.2,1.2,2.6,3.3,2.9,0.3,81.1,74.8,1.8,43,2.2,1178049.92,58902.5,1,0.1,26.3,11.1,1.7,3.1,77.4,58.3,63.7,1.92,0.93,12,3,11.1,2.2,1.1,24.9,19.9,89.5,75.7,0,57.3,7,1,14.1,11.5,16.6,5.8
"EMPRES HEALTHCARE GROUP",203,24,6,1,5,5,20.8,100,0,0,2.3,2.3,2.8,3.3,3.6,3.2,0.7,55.9,48.9,0.2,60,2.5,1400772.45,58365.52,3,0.1,18,12.5,1.3,3.4,71.6,72.8,79.6,1.33,1.37,21.8,4.3,6.3,2.2,1.1,17.8,14.8,94.1,95.7,0,44.4,6.2,5.4,15.1,10,33.1,7.8
"ENVIVE HEALTHCARE",204,8,1,0,1,0,0,87.5,0,12.5,2.3,2.5,1.6,2,3.5,3.2,0.7,66.6,68.9,1.3,25,3.1,566904.54,70863.07,6,0.8,25.2,12.3,2.4,5.7,69,35.2,48.3,2.17,1.62,15.7,2.1,9.9,1.9,1.2,24.3,22.3,70.2,74.9,0,52.8,5.5,3.2,21.2,10.7,24.2,9.3
"EPHRAM LAHASKY",205,24,13,0,2,1,4.2,100,0,0,1.8,1.8,2.3,2.8,3.5,3.1,0.5,59.9,58.9,0.7,77,3.2,1648280.28,68678.35,9,0.4,23.5,13.7,2.1,4.1,70.5,63.7,63.4,2.11,1.29,19.9,3.2,7.7,1.4,1.2,18,16.8,92.1,80.8,0.1,46.2,6.3,11.8,19.3,10.6,43.9,11.8
"EPIC GROUP",206,2,2,0,0,0,0,100,0,0,3,3,2.5,3.5,3.3,2.8,0.6,48.6,50,1,2,1,7364.5,3682.25,0,0,24.2,15.9,2.6,1.8,90.4,91.8,98.5,1.83,1.93,4.8,4.2,10.3,3,0.3,12.2,12.9,98,99.8,0,58.5,9.2,0,22.8,12.5,0,0
"EPIC HEALTHCARE MANAGEMENT",207,5,1,0,0,0,0,100,0,0,4.6,4.6,1.8,4,3.3,2.9,0.5,33.8,37.7,0.4,3,0.6,2295.24,459.05,0,0,19.7,10.3,1.6,2,84.7,86.4,87,2,0.78,14.2,2.5,7.1,1.5,0.4,11.9,13.4,94.8,94.1,0,65.6,4.6,34.4,15.9,9.6,51.1,4.3
"EPIC HEALTHCARE SOLUTIONS",208,3,2,0,0,1,33.3,100,0,0,2,1.7,3,2,4,3.4,0.9,"","",1,2,0.7,94433.25,31477.75,1,0.3,16.4,18,0,0,68.9,80.4,87.3,2.26,1.47,13.4,6.8,14.7,1.2,1.2,19.8,19.8,91.9,94.9,0,32,11.6,10.6,11.4,11.2,60.5,22.4
"EPISCOPAL RETIREMENT SERVICES",209,3,2,0,0,0,0,0,100,0,4.7,4,5,4.7,5.7,5.3,0.9,33.6,41,0,1,0.3,9540,3180,0,0,11.2,8.1,0,0,80.7,92.7,84.5,1.69,0.47,20.7,2.4,2.4,4.3,1.2,21.2,15.3,97.1,90.5,0.4,40.6,4.4,9.1,12.3,10.9,69,15.7
"ERICKSON LIVING",210,16,9,0,0,0,0,0,100,0,4.7,4.2,4.6,4.4,4.7,4.2,1.1,41.5,38.9,0.7,46,2.9,155387.07,9711.69,0,0,20.9,7.6,1.7,2.4,80.2,89.2,78,1.26,0.51,10.3,3.8,8,3.1,1.5,17.3,14.7,94.7,85.6,0.1,67,5.1,1.3,13.8,10.8,72.9,17.5
"ESSENTIAL HEALTHCARE",212,4,2,0,1,1,25,100,0,0,1.5,1.5,2.3,3,3.2,2.9,0.6,46.6,60.8,0.7,8,2,375780.5,93945.13,0,0,24.1,13.2,1.6,3.7,75.4,41.6,30.5,2.93,1.16,12.7,2.3,5.2,0.5,1,14.9,18.5,84.8,62,0,28.6,5.1,37.3,15.9,11.4,32.8,1.5
"EVA CARE GROUP",213,9,1,0,1,1,11.1,100,0,0,3.4,2.3,4.1,4.8,4.4,4,0.7,42.6,41,0.8,31,3.4,824014.92,91557.21,4,0.4,18.7,10.4,0.8,2.2,75.4,99.8,99.7,1.8,0.77,8,1,7.4,1.6,0.9,6.9,7.4,100,99.9,0,21.1,7.6,0.5,13,11.4,50.4,12.5
"EVANGELICAL GOOD SAMARITAN SOCIETY",584,3,3,0,0,0,0,0,100,0,2.7,1.7,3.7,3,4.4,3.8,1.4,54.5,52.1,0.3,4,1.3,112196.5,37398.83,2,0.7,31.6,10.7,2.3,3.3,80.9,67.6,66.7,2.1,0.98,18.3,6.5,10.7,7.4,0.9,12.6,14.5,90,72.2,4.2,49.5,11.5,2,19.8,9.5,44.9,0.2
"EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY",214,105,18,0,3,5,4.8,4.8,95.2,0,2.9,2.8,3.5,3.2,3.5,3,0.8,53.3,44.8,0.5,113,1.1,2374238.79,22611.8,13,0.1,20.4,12.2,1.6,2.7,77.9,69.5,82.1,1.58,1.13,15.1,4,6.3,4,2,18.9,16.5,95.8,94.7,0.1,50.1,5.7,3.5,15.2,9.8,39.9,5.7
EXCELCARE,216,5,1,0,0,0,0,100,0,0,3.4,3,2.2,4.8,3.1,2.8,0.6,54,60,1,11,2.2,58735.57,11747.11,2,0.4,25.3,8.8,1.3,2.2,87.2,95.4,91.7,2.14,0.82,7.1,2.7,10.3,0.8,1,8,7.5,99.9,98.8,0,29.7,4.7,2.4,18.6,10.9,13.4,0.9
"EXCELSIOR CARE GROUP",217,19,3,0,0,0,0,100,0,0,2.6,2.6,2.1,3.7,3.3,3,0.6,42.2,55,0.9,51,2.7,459958.34,24208.33,0,0,21.7,10.5,1.2,2.2,77.5,76.7,73.8,1.91,0.76,10,2,11.6,1.5,0.8,14.9,15.6,92.3,90,0.4,46.6,7.3,17.3,12.7,10.4,36.2,17.1
"EXTENDED CARE ASSOCIATES",218,5,2,0,0,0,0,100,0,0,2.4,2.6,2.8,2,3.7,2.9,0.3,52.6,27.7,0.8,4,0.8,189703.15,37940.63,0,0,20.6,15.1,0.5,3.3,68.2,77.1,81,2.46,1.95,20.6,3.7,12.4,5.2,1,16.2,21.1,98.7,97.6,0,36.3,2.8,2.8,31.3,11.1,26,13.1
"EXTENDED CARE CLINICAL",219,6,1,0,0,2,33.3,100,0,0,1.3,2,2.2,1.7,2.9,2.6,0.6,62.5,46.7,"",19,3.2,687639.5,114606.58,4,0.7,27,16.7,2.6,4.6,66,31.7,27.6,2.07,1.27,15,2.9,13.1,1.8,1.5,29.2,21.5,78.1,64.5,0,61.7,9.1,39.1,9.8,11.2,46,7.3
"FAMILY OF CARING HEALTHCARE",220,7,1,0,0,0,0,100,0,0,4.3,3.6,3.9,4.9,4.2,3.6,0.8,48,43.3,0.3,19,2.7,101002.13,14428.88,1,0.1,22.5,8,1,1.7,83.6,80.9,86.3,1.36,0.67,11.2,2.9,9.4,0.9,1.3,11,11.2,93.6,95.8,0,40.4,5.5,11.4,13.7,10.2,38.1,33.1
"FIRST ATLANTIC HEALTHCARE",221,10,1,1,0,2,20,100,0,0,2,1.9,3.7,2.6,4.1,3.7,0.8,68.8,49.6,0.3,9,0.9,200678.5,20067.85,0,0,24.5,19,1.6,2.3,56.2,69.8,70.1,1.52,1.87,19.2,2.6,7.9,2.5,1.5,21.4,16,95,93.6,0,70.5,6.8,5,18.2,9.8,53,3.5
"FLORIDA INSTITUTE FOR LONG-TERM CARE",223,16,1,0,1,3,18.8,12.5,87.5,0,3,2.5,2.7,4.2,3.3,3.1,0.6,41.2,53.1,0.4,13,0.8,587666.19,36729.14,2,0.1,27.4,10.6,1.3,2.1,84.6,95.4,98.3,2.24,0.71,4.3,2,10.2,0.3,0.1,7.6,6.1,99.1,99.4,0,41.6,6.4,0.6,25.2,11.1,17.2,4.1
"FOCUSED POST ACUTE CARE PARTNERS",224,27,1,0,1,4,14.8,92.6,0,7.4,1.6,2.1,1,3.1,2.9,2.5,0.3,60.8,58.6,0.6,51,1.9,1680353.26,62235.31,8,0.3,25.1,14.7,1.7,4,52.9,86,90.6,2.03,1.3,8.2,3.7,8.3,0.2,1.1,13.3,14.3,99.6,99.2,0,52.7,3.9,1.6,23.1,10.3,17.8,7.6
"FOUNDATIONS HEALTH SOLUTIONS",225,56,1,0,0,0,0,100,0,0,3.7,3.6,1.8,4.3,3.4,3,0.5,44.8,39,0.4,68,1.2,486249.32,8683.02,7,0.1,24.1,12.3,1.5,3.4,80.6,72.5,73.5,1.62,0.97,15.3,3.6,6.9,0.3,0.3,6,12.3,95.4,89.4,0,42,6.4,56.3,27.1,11,39,3.8
"FOURSQUARE HEALTHCARE",226,9,1,0,0,0,0,66.7,0,33.3,2.6,3.3,1,3.7,2.7,2.3,0.3,56.7,35.3,0,20,2.2,159888.25,17765.36,1,0.1,21.7,13.6,0.8,2.1,76.1,91.3,96.1,2.29,1.1,8,4.1,8.6,2.4,1,7,17.7,98.4,99.8,0,55.4,1.6,65.8,27.9,11,34.3,20.7
"FRANCISCAN COMMUNITIES",227,6,3,0,0,0,0,0,100,0,4.2,3.7,4.2,4,4.2,3.8,1.3,52.7,39.2,0.6,16,2.7,98095.94,16349.32,1,0.2,24.1,10.5,0.5,3.1,70.3,90,90,1.74,0.79,14.5,3.6,9.1,1.1,1,14,8.3,96.7,95.8,0,74.3,5.6,4.7,15.9,10.5,41.9,3.2
"FREEDOM MANAGEMENT COMPANY",228,3,2,0,0,0,0,100,0,0,4.3,3.7,4.7,4.3,5.6,4.9,0.9,33.1,36.8,0.3,1,0.3,9769.5,3256.5,0,0,24.5,14.3,0.4,3.6,76.5,94,95.4,1.85,1.03,6.1,0,6.5,5.9,1.2,14.8,4.8,95.6,100,0,56.8,8.7,7,15.7,10.8,26.9,13
"FRONT PORCH",229,9,1,0,0,0,0,0,100,0,3.8,3.4,3.3,4.7,5,4.4,0.8,48,50,1,10,1.1,51941.81,5771.31,1,0.1,24.1,9.4,0.6,1.4,86.3,94.2,97.9,2.09,0.51,12.1,5.4,7.1,2.3,0.8,16.2,8.1,97.5,100,0,53.6,5.2,2.4,7,10,59.2,35.8
"FRONTLINE MANAGEMENT",230,9,4,0,0,0,0,100,0,0,2.6,2.4,2.7,3.4,3.3,3,0.7,61.1,56.3,0.5,30,3.3,188181.28,20909.03,1,0.1,22.1,13,1.1,3.3,77.8,56.8,54.7,1.76,1.29,13.7,4.6,6.4,1.7,1,18.2,16.2,90.7,74.3,0,57.1,7.2,4.1,12.2,10.7,43.4,6.4
"FUNDAMENTAL HEALTHCARE",231,72,7,1,5,14,19.4,87.5,1.4,11.1,2.1,2.3,1.6,3.1,3.2,2.9,0.4,57.2,55.5,0.8,197,2.7,3874571.51,53813.49,13,0.2,22.2,11.7,1.8,3,67,69.5,68.3,2,1.19,13.1,2.6,9.1,1.6,1,19.6,17.7,93.4,85.2,0,53.2,5.6,6.6,20.2,11.1,20.3,5.6
"FUTURE CARE/LIFEBRIDGE HEALTH",232,18,1,0,0,0,0,88.9,11.1,0,3.1,2.8,3.6,3.7,4.3,3.8,1.2,44.3,38.5,0.4,12,0.7,48876.18,2715.34,0,0,22.2,8.5,1.5,3.9,71.5,76.9,74.3,1.37,0.64,12.2,1.8,12.2,2.7,1.1,26.4,18.2,94.6,89.5,0,62.7,6.5,14.4,10.9,11.7,33.6,10.7
"GARDEN HEALTHCARE",233,5,1,0,1,1,20,100,0,0,2.8,2.6,1.2,5,3.2,2.9,0.4,52.7,51.7,1.5,12,2.4,395570.74,79114.15,2,0.4,23.6,6.7,1.2,1,91.9,63.4,65.3,2.09,1.48,9.6,3.6,6.1,0.6,0.1,4.9,10.7,82.6,84.2,0,38.1,3.4,39.4,24.2,11.4,30.6,3
"GENERATIONS HEALTHCARE",236,32,4,0,0,2,6.3,100,0,0,3.8,3.5,3.3,4.3,4.2,3.6,0.6,49.1,49.2,0.3,56,1.8,690611.8,21581.62,5,0.2,23.2,12.8,1.5,1.5,84.2,89.2,88.8,1.89,1.21,14.8,2,7.4,1.7,1.3,10.1,7.2,96.9,94.7,0.1,44.6,4.6,10,14.6,10.5,37.1,6
"GENESIS HEALTHCARE",237,236,22,2,20,26,11,98.3,1.7,0,2.4,2.3,2.3,3.3,3.3,3,0.6,53.7,48.3,1,279,1.2,9901096,41953.8,53,0.2,21.5,12.3,1.6,2.8,74,75,76.1,1.68,1.15,14.7,3.3,8.9,1.9,1,20.8,16.4,95.4,91.8,0.1,43.9,6.8,5.9,17.5,10.5,27.4,6.9
"GLOBAL HEALTHCARE REIT",238,9,2,0,1,1,11.1,100,0,0,1.2,1.7,1.8,1.9,3.4,3.2,0.3,67.9,59.7,0.7,56,6.2,375055.2,41672.8,3,0.3,27.6,14,3.8,1.6,75.8,54.3,76.3,1.98,1.45,20.8,4.5,16.5,4.5,2.7,22.8,22.1,90.6,91.3,0.2,30.8,5.3,4.8,20.3,11.3,21.4,17.3
"GOLD FL TRUST II",594,32,1,0,1,2,6.3,100,0,0,3,2.6,2.9,4.2,3.7,3.4,0.6,55.3,56.6,0.9,152,4.8,1604974.34,50155.45,2,0.1,23.1,11.2,1.4,1.8,84,90.7,91.9,2.05,0.78,8.4,2.1,6.8,0.3,0.5,12.7,6.8,99.7,98.5,0,46.2,5.6,4.1,19,11.1,25,11.3
"GRACE HEALTHCARE",239,8,5,0,0,0,0,100,0,0,2.5,2.8,1.8,2.8,3.6,3.1,0.5,64,60.2,0,23,2.9,198875.84,24859.48,0,0,23.5,16.2,2.2,2.8,77.5,79.1,85.6,1.85,1.8,19.5,1.8,9.3,1,1.6,17.7,15.3,99,95.7,0,43,4.3,8.5,27,10.9,21.7,1.5
"GREEN TREE HEALTHCARE MANAGEMENT",241,4,2,0,1,0,0,100,0,0,2.5,2.8,1.5,2.8,3.7,2.9,0.5,"","","",22,5.5,489305.16,122326.29,1,0.3,25.9,19.7,1.2,2.7,83.8,57.2,54.4,1.14,1.53,26.5,3.1,5.6,0.9,0.9,21.3,21.7,94.8,72.2,0,56.5,4.2,4.5,12.5,10.3,11.9,6.7
"GUARDIAN ELDER CARE",242,23,2,0,0,2,8.7,100,0,0,2.6,2.6,2.5,3.4,3.4,3,0.7,50.2,50.3,0.5,20,0.9,464052.55,20176.2,2,0.1,21,11.2,1.9,3.6,74.7,73.1,78.1,1.58,0.94,14.9,3.4,8.7,2.4,1.1,19,12.2,94,89.6,0.1,52.2,6.2,2,23.3,10.3,39.5,11.1
"GULF COAST LTC PARTNERS",243,12,1,0,0,1,8.3,83.3,0,16.7,1.6,2.8,1,1.6,3.2,3,0.2,63.3,44,0.4,20,1.7,449749.89,37479.16,4,0.3,38.9,14.3,5.2,4.7,63.6,85.6,89.5,2.66,1.81,19,4.4,7.5,3.8,1.8,20.6,25,95.2,96.1,0,52.6,7.5,2.6,23.7,10.8,41.9,13.1
"HAMILTON COUNTY HOSPITAL DISTRICT",589,22,1,0,1,3,13.6,86.4,0,13.6,2.2,2.5,1.5,3.2,3.3,2.9,0.4,63.3,66.8,1.3,60,2.7,1510766.93,68671.22,5,0.2,28.1,10.1,0.9,1.6,60.3,79.2,87.1,1.83,1.26,9.4,3.8,6,1.4,1.1,16.4,18.9,97.1,97.1,0,56.1,2.9,4.6,24,10.7,18.6,9.1
"HARBORVIEW HEALTH SYSTEMS",246,14,2,0,0,0,0,100,0,0,2.3,2.7,1.9,2.8,3.5,2.9,0.5,61.5,56.3,0.7,22,1.6,186493.9,13320.99,2,0.1,22.8,14.2,1.4,3.3,75.7,65.5,68.3,2.18,1.48,13.7,2.5,13.1,2.4,1.1,19.7,16.6,90.5,84.7,0,54.9,6.8,3.4,13,11.3,28.9,10.6
"HARRISON SENIOR LIVING",248,2,2,0,0,0,0,100,0,0,3.5,3.5,2.5,3,3.6,3.2,0.5,74.4,76,2,7,3.5,85304.05,42652.03,0,0,24.6,15.1,1.3,2,74.7,85,85.7,1.57,1.28,13.4,3.4,8.8,0.7,0.4,19,13.7,98.4,89.3,0,50.5,9.6,4.6,15.7,11.5,0,3.2
"HAVEN HEALTH",249,18,1,0,1,0,0,100,0,0,2.8,2.3,2.5,4.4,3.2,2.8,0.6,51,51.2,0.5,15,0.8,67387.81,3743.77,0,0,23,16.3,0.6,2.6,78.3,79.1,85.1,1.42,1.27,8.4,3.5,8.7,0.9,0.5,12.3,9.3,91.2,93.3,0,57.4,6.7,5.8,18.7,10.4,13.3,1.6
"HAWAII HEALTH SYSTEMS CORPORATION",250,6,1,0,0,1,16.7,0,0,100,3.8,3,4.3,4.5,4.4,3.6,1.3,28.1,30.7,0,13,2.2,208448.71,34741.45,0,0,4.9,19.7,2.2,6.9,86.9,79.7,78.1,0.98,0.6,12.1,1.3,5.1,2.1,0.9,19.8,11.4,98.4,93,0,43.7,3.8,1.9,8,"",18,3.6
"HCF MANAGEMENT",251,22,2,0,0,1,4.5,100,0,0,3.3,3.3,2.7,3.3,3.6,3.1,0.8,54.7,44,0.9,23,1,193233.53,8783.34,2,0.1,24.2,12.7,1.5,4.1,73,61.7,68.5,1.4,1.11,17.2,3.9,7.4,1.5,0.5,15.9,13.8,93.7,89.7,0.1,48.6,5.4,3.6,23.7,10.3,29.5,4.1
"HCF MANAGEMENT INDIANA",252,12,1,0,0,0,0,25,25,50,3.4,3.8,2,3.2,3.6,3,0.5,40.6,36.5,0.4,8,0.7,63002.97,5250.25,0,0,22.5,11.8,1.4,3.7,71.1,87.7,89.1,1.97,1.6,7.8,5.8,7.8,4.4,0.6,14.8,22.7,99.3,97.8,0.3,45,4.4,32.7,24.2,10.6,34.4,0.3
"HCR MANORCARE",253,33,7,0,1,0,0,24.2,75.8,0,2.4,2.4,2.6,3.7,3.7,3.3,0.7,51.2,54.8,1.2,94,2.8,1012515.15,30682.28,3,0.1,26.7,12.2,1.3,2.5,75.9,79,79.9,1.98,1.02,11,2.9,9.1,1.3,0.9,17.9,13.8,94.5,91.8,0,49.4,5.9,3.8,14.7,10.9,31.4,9.1
